Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-28_CCOB_WILDGRASS_01_IMPACT_20190711_20190718,CCOB_WILDGRASS_01_IMPACT,2019-07-11,2019-07-18,drilling,neoflow,5.771,0.431,3.286,0.106,0.561,1.516,0.262,0.012,0.02,0.006,0.049,0.748,0.621,0.004,0.018,0.007,0.271,0.214,0.012,0.113,0.111,0.094,0.063,0.039,0.072,0.056,0.127,0.011,0.344,0.033,0.029,0.081,0.031,0.135,NA,0.051,0.066,0.009,0.012,0.039,0.015,0.005,0.009,NA,0.104,0.078,0.011,NA,0.012,0.002,1894
SS-6.0-16_CCOB_WILDGRASS_01_IMPACT_20190718_20190725,CCOB_WILDGRASS_01_IMPACT,2019-07-18,2019-07-25,drilling,neoflow,6.889,0.486,3.71,0.114,0.663,1.725,0.235,0.008,0.037,0.006,0.055,0.832,0.706,0.004,0.018,0.007,0.314,0.168,0.012,0.097,0.142,0.073,0.057,0.052,0.065,0.057,0.201,0.011,0.475,0.014,0.02,0.075,0.043,0.178,NA,0.058,0.056,0.009,0.012,0.028,0.015,0.005,0.009,NA,0.075,0.078,0.011,NA,0.002,0.014,1896
SS-6.0-17_CCOB_WILDGRASS_01_IMPACT_20190801_20190808,CCOB_WILDGRASS_01_IMPACT,2019-08-01,2019-08-08,drilling,neoflow,7.55,0.602,4.22,0.128,0.988,2.117,0.247,0.082,0.077,0.041,0.084,1.28,0.997,0.039,0.018,0.017,0.433,0.205,0.025,0.144,0.309,0.084,0.077,0.067,0.089,0.071,0.11,0.011,0.992,0.04,0.014,0.122,0.093,0.317,NA,0.096,0.031,0.009,0.012,0.027,0.015,0.005,0.009,NA,0.013,0.078,0.011,NA,0.015,0.004,1941
SS-6.0-25_CCOB_WILDGRASS_01_IMPACT_20190815_20190822,CCOB_WILDGRASS_01_IMPACT,2019-08-15,2019-08-22,drilling,neoflow,7.791,0.462,3.985,0.109,0.664,1.778,0.272,0.006,0.05,0.006,0.064,0.721,0.709,0.004,0.018,0.007,0.288,0.164,0.012,0.113,0.188,0.087,0.06,0.044,0.063,0.042,0.156,0.011,0.327,0.034,0.018,0.09,0.038,0.151,NA,0.063,0.067,0.009,0.012,0.038,0.015,0.014,0.009,0.593,0.103,0.078,0.011,NA,0.011,0.002,1941
SS-6.0-54_CCOB_WILDGRASS_01_IMPACT_20190822_20190829,CCOB_WILDGRASS_01_IMPACT,2019-08-22,2019-08-29,drilling,neoflow,8.025,0.436,4.417,0.158,0.762,2.061,0.291,0.021,0.028,0.006,0.071,0.805,0.852,0.004,0.018,0.007,0.362,0.099,0.026,0.152,0.132,0.177,0.062,0.023,0.068,0.045,0.187,0.011,0.295,0.041,0.033,0.129,0.037,0.154,NA,0.06,0.127,0.009,0.012,0.035,0.015,0.053,0.009,0.321,0.144,0.078,0.011,NA,0.011,0.004,1981
SS-6.0-45_CCOB_WILDGRASS_01_IMPACT_20190912_20190919,CCOB_WILDGRASS_01_IMPACT,2019-09-12,2019-09-19,drilling,neoflow,7.566,0.539,3.841,0.146,0.639,1.666,0.333,0.02,0.045,0.006,0.059,0.75,0.682,0.004,0.018,0.007,0.275,0.071,0.012,0.123,0.133,0.147,0.085,0.061,0.083,0.077,0.154,0.011,0.359,0.038,0.027,0.087,0.043,0.172,0.008,0.051,0.076,0.009,0.012,0.017,0.015,0.005,0.009,0.03,0.119,0.078,0.011,0.007,0.014,0.001,1906
SS-6.0-37_CCOB_WILDGRASS_01_IMPACT_20190919_20190926,CCOB_WILDGRASS_01_IMPACT,2019-09-19,2019-09-26,drilling,neoflow,6.564,0.475,3.397,0.128,0.552,1.544,0.311,0.011,0.028,0.006,0.058,0.654,0.618,0.004,0.018,0.007,0.267,0.053,0.012,0.114,0.121,0.135,0.08,0.024,0.048,0.034,0.095,0.011,0.27,0.041,0.05,0.076,0.026,0.144,0.008,0.043,0.063,0.023,0.012,0.012,0.015,0.005,0.009,0.022,0.072,0.078,0.011,0.007,0.017,0.002,2002
SS-6.0-56_CCOB_WILDGRASS_01_IMPACT_20191010_20191017,CCOB_WILDGRASS_01_IMPACT,2019-10-10,2019-10-17,drilling,neoflow,9.208,0.882,4.265,0.145,0.777,1.965,0.62,0.02,0.02,0.006,0.062,0.724,0.639,0.004,0.018,0.007,0.246,0.014,0.012,0.081,0.136,0.08,0.054,0.038,0.062,0.041,0.082,0.011,0.25,0.014,0.039,0.054,0.038,0.114,0.008,0.048,0.029,0.009,0.012,0.012,0.015,0.005,0.009,0.019,0.036,0.078,0.011,0.007,0.026,0.002,1857
SS-6.0-09_CCOB_WILDGRASS_01_IMPACT_20191017_20191024,CCOB_WILDGRASS_01_IMPACT,2019-10-17,2019-10-24,drilling,neoflow,5.031,0.392,2.354,0.077,0.409,1.027,0.305,0.013,0.008,0.006,0.029,0.353,0.317,0.004,0.018,0.007,0.143,0.006,0.012,0.066,0.092,0.05,0.034,0.022,0.028,0.025,0.053,0.011,0.109,0.014,0.01,0.04,0.016,0.07,0.008,0.011,0.025,0.009,0.012,0.007,0.015,0.005,0.009,0.012,0.031,0.078,0.011,0.007,0.011,0.001,1856
SS-6.0-17_CCOB_WILDGRASS_01_IMPACT_20191031_20191107,CCOB_WILDGRASS_01_IMPACT,2019-10-31,2019-11-07,drilling,neoflow,20.746,1.457,11.067,0.234,1.884,4.966,1.007,0.013,0.034,0.013,0.127,1.504,1.523,0.004,0.018,0.007,0.625,0.011,0.038,0.224,0.279,0.258,0.112,0.051,0.124,0.089,0.29,0.011,0.386,0.049,0.035,0.125,0.041,0.163,0.008,0.033,0.043,0.009,0.012,0.009,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.022,0.004,2096
SS-6.0-52_CCOB_WILDGRASS_01_IMPACT_20191114_20191121,CCOB_WILDGRASS_01_IMPACT,2019-11-14,2019-11-21,drilling,neoflow,15.594,1.15,7.518,0.189,1.441,3.745,0.905,0.014,0.031,0.006,0.091,1.18,1.123,0.004,0.018,0.007,0.458,0.011,0.031,0.161,0.201,0.127,0.089,0.048,0.129,0.071,0.153,0.011,0.421,0.033,0.021,0.086,0.039,0.165,0.008,0.052,0.05,0.009,0.012,0.019,0.015,0.005,0.009,0.028,0.049,0.078,0.011,0.007,0.031,0.004,1994
SS-6.0-38_CCOB_WILDGRASS_01_IMPACT_20191121_20191128,CCOB_WILDGRASS_01_IMPACT,2019-11-21,2019-11-28,none,NA,14.305,1.058,6.574,0.148,1.12,2.969,0.838,0.008,0.019,0.006,0.076,0.883,0.87,0.004,0.018,0.007,0.328,0.002,0.012,0.123,0.187,0.099,0.06,0.036,0.057,0.042,0.107,0.011,0.228,0.014,0.022,0.061,0.035,0.101,0.008,0.03,0.038,0.009,0.012,0.011,0.015,0.005,0.009,0.015,0.013,0.078,0.011,0.007,0.013,0.002,1958
SS-6.0-05_CCOB_WILDGRASS_01_IMPACT_20191212_20191219,CCOB_WILDGRASS_01_IMPACT,2019-12-12,2019-12-19,none,NA,16.355,1.422,7.998,0.208,1.431,3.734,1.131,0.017,0.038,0.006,0.09,1.089,1.073,0.004,0.018,0.007,0.425,0.002,0.029,0.131,0.244,0.134,0.079,0.042,0.103,0.065,0.164,0.011,0.345,0.033,0.02,0.069,0.042,0.144,0.008,0.05,0.03,0.009,0.012,0.018,0.015,0.005,0.009,0.026,0.036,0.078,0.011,0.007,0.017,0.004,2107
SS-6.0-33_CCOB_WILDGRASS_01_IMPACT_20191219_20191226,CCOB_WILDGRASS_01_IMPACT,2019-12-19,2019-12-26,none,NA,16.912,1.494,7.506,0.213,1.442,3.753,1.186,0.014,0.034,0.006,0.09,1.169,1.1,0.004,0.018,0.007,0.456,0.002,0.035,0.141,0.206,0.196,0.093,0.042,0.104,0.074,0.163,0.011,0.353,0.042,0.025,0.066,0.04,0.162,0.008,0.052,0.033,0.009,0.012,0.018,0.015,0.005,0.009,0.037,0.033,0.078,0.011,0.007,0.024,0.003,2224
SS-6.0-42_CCOB_WILDGRASS_01_IMPACT_20200109_20200116,CCOB_WILDGRASS_01_IMPACT,2020-01-09,2020-01-16,none,NA,12.195,1.314,5.543,0.138,1.007,2.54,1.169,0.014,0.022,0.006,0.061,0.751,0.72,0.004,0.018,0.007,0.256,0.002,0.027,0.09,0.165,0.066,0.065,0.031,0.079,0.043,0.098,0.011,0.208,0.03,0.017,0.053,0.031,0.08,0.008,0.027,0.011,0.009,0.012,0.01,0.015,0.005,0.009,0.016,0.013,0.078,0.011,0.007,0.013,0.005,2074
SS-6.0-25_CCOB_WILDGRASS_01_IMPACT_20200116_20200123,CCOB_WILDGRASS_01_IMPACT,2020-01-16,2020-01-23,none,NA,19.928,2.25,8.827,0.218,1.613,4.253,1.683,0.015,0.034,0.014,0.092,1.232,1.216,0.004,0.018,0.007,0.475,0.005,0.029,0.136,0.243,0.146,0.097,0.057,0.12,0.074,0.175,0.011,0.341,0.032,0.022,0.062,0.044,0.126,0.008,0.037,0.038,0.009,0.012,0.013,0.015,0.005,0.009,0.022,0.013,0.078,0.011,0.007,0.026,0.006,2066
SS-6.0-59_CCOB_WILDGRASS_01_IMPACT_20200206_20200213,CCOB_WILDGRASS_01_IMPACT,2020-02-06,2020-02-13,none,NA,12.61,2.487,5.671,0.159,1.081,2.795,1.166,0.012,0.028,0.006,0.068,0.832,0.817,0.004,0.018,0.007,0.293,0.004,0.012,0.1,0.226,0.109,0.065,0.061,0.077,0.053,0.145,0.011,0.236,0.031,0.013,0.049,0.024,0.078,0.008,0.041,0.043,0.009,0.012,0.015,0.015,0.005,0.009,0.025,0.055,0.078,0.011,0.007,0.012,0.003,1972
SS-6.0-31_CCOB_WILDGRASS_01_IMPACT_20200213_20200220,CCOB_WILDGRASS_01_IMPACT,2020-02-13,2020-02-20,none,NA,18.725,1.237,9.369,0.194,1.773,4.644,0.95,0.015,0.029,0.013,0.108,1.322,1.368,0.004,0.018,0.007,0.544,0.002,0.031,0.177,0.215,0.195,0.092,0.05,0.099,0.07,0.207,0.011,0.288,0.039,0.029,0.083,0.037,0.115,0.008,0.054,0.041,0.009,0.012,0.018,0.015,0.005,0.009,0.031,0.035,0.078,0.011,0.007,0.016,0.004,2030
SS-6.0-36_CCOB_WILDGRASS_01_IMPACT_20200305_20200312,CCOB_WILDGRASS_01_IMPACT,2020-03-05,2020-03-12,none,NA,6.717,0.566,2.432,0.084,0.497,1.234,0.436,0.01,0.016,0.006,0.035,0.408,0.359,0.004,0.018,0.007,0.175,0.004,0.012,0.049,0.101,0.08,0.016,0.024,0.037,0.035,0.063,0.011,0.176,0.014,0.005,0.034,0.022,0.07,0.008,0.011,0.028,0.009,0.012,0.01,0.015,0.005,0.009,0.016,0.013,0.078,0.011,0.007,0.011,0.002,1932
SS-6.0-19_CCOB_WILDGRASS_01_IMPACT_20200312_20200319,CCOB_WILDGRASS_01_IMPACT,2020-03-12,2020-03-19,none,NA,17.183,0.738,9.976,0.134,1.774,4.912,0.634,0.012,0.02,0.006,0.11,1.349,1.466,0.004,0.018,0.007,0.532,0.002,0.028,0.136,0.15,0.185,0.073,0.03,0.086,0.063,0.162,0.011,0.218,0.036,0.014,0.08,0.026,0.076,0.008,0.029,0.042,0.009,0.012,0.01,0.015,0.005,0.009,0.017,0.028,0.078,0.011,0.007,0.013,0.004,2063
SS-6.0-15_CCOB_WILDGRASS_01_IMPACT_20200326_20200402,CCOB_WILDGRASS_01_IMPACT,2020-03-26,2020-04-02,none,NA,6.776,0.365,3.077,0.062,0.504,1.278,0.355,0.011,0.008,0.006,0.032,0.363,0.367,0.004,0.018,0.007,0.157,0.008,0.012,0.051,0.079,0.069,0.016,0.018,0.027,0.012,0.071,0.011,0.076,0.014,0.005,0.038,0.013,0.047,0.008,0.011,0.011,0.009,0.012,0.003,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.007,0.001,1934
SS-6.0-41_CCOB_WILDGRASS_01_IMPACT_20200402_20200409,CCOB_WILDGRASS_01_IMPACT,2020-04-02,2020-04-09,none,NA,8.158,0.495,3.443,0.07,0.591,1.509,0.418,0.008,0.008,0.006,0.038,0.464,0.452,0.004,0.018,0.007,0.166,0.007,0.012,0.051,0.086,0.063,0.016,0.02,0.035,0.012,0.06,0.011,0.131,0.014,0.005,0.038,0.014,0.044,0.008,0.023,0.011,0.009,0.012,0.007,0.015,0.005,0.009,0.011,0.013,0.078,0.011,0.007,0.009,0.002,1958
SS-6.0-45_CCOB_WILDGRASS_01_IMPACT_20200409_20200416,CCOB_WILDGRASS_01_IMPACT,2020-04-09,2020-04-16,none,NA,6.499,0.387,2.5,0.059,0.396,0.991,0.376,0.006,0.008,0.006,0.03,0.296,0.307,0.004,0.018,0.007,0.103,0.002,0.012,0.045,0.088,0.045,0.016,0.011,0.009,0.012,0.053,0.011,0.066,0.014,0.005,0.026,0.004,0.032,0.008,0.011,0.024,0.009,0.012,0.003,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.006,0.001,1939
SS-6.0-66_CCOB_WILDGRASS_01_IMPACT_20200416_20200423,CCOB_WILDGRASS_01_IMPACT,2020-04-16,2020-04-23,none,NA,11.314,0.684,5.027,0.111,0.78,1.977,0.648,0.008,0.008,0.006,0.046,0.61,0.611,0.004,0.018,0.007,0.24,0.002,0.025,0.077,0.141,0.101,0.05,0.033,0.061,0.044,0.1,0.011,0.191,0.014,0.012,0.051,0.026,0.048,0.008,0.011,0.029,0.009,0.012,0.009,0.015,0.005,0.009,0.015,0.013,0.078,0.011,0.007,0.013,0.003,2006
SS-6.0-21_CCOB_WILDGRASS_01_IMPACT_20200423_20200430,CCOB_WILDGRASS_01_IMPACT,2020-04-23,2020-04-30,none,NA,5.583,0.382,2.129,0.072,0.376,0.96,0.301,0.007,0.008,0.006,0.031,0.36,0.317,0.004,0.018,0.007,0.12,0.002,0.012,0.036,0.087,0.048,0.016,0.018,0.009,0.027,0.065,0.011,0.1,0.014,0.005,0.031,0.013,0.041,0.008,0.011,0.031,0.009,0.012,0.008,0.015,0.005,0.009,0.013,0.013,0.078,0.011,0.007,0.007,0.001,1932
SS-6.0-42_CCOB_WILDGRASS_01_IMPACT_20200430_20200507,CCOB_WILDGRASS_01_IMPACT,2020-04-30,2020-05-07,none,NA,5.356,0.396,2.355,0.095,0.451,1.16,0.327,0.011,0.008,0.006,0.031,0.433,0.382,0.004,0.018,0.007,0.143,0.008,0.012,0.044,0.072,0.039,0.016,0.021,0.026,0.027,0.061,0.011,0.142,0.014,0.012,0.04,0.02,0.055,0.008,0.011,0.033,0.02,0.012,0.009,0.015,0.005,0.009,0.015,0.013,0.078,0.011,0.007,0.01,0.002,1924
SS-6.0-54_CCOB_WILDGRASS_01_IMPACT_20200507_20200514,CCOB_WILDGRASS_01_IMPACT,2020-05-07,2020-05-14,none,NA,7.261,0.349,3.238,0.093,0.496,1.32,0.298,0.008,0.019,0.006,0.035,0.432,0.428,0.004,0.018,0.007,0.159,0.002,0.012,0.051,0.09,0.062,0.016,0.021,0.033,0.024,0.051,0.011,0.223,0.014,0.005,0.024,0.012,0.038,0.008,0.011,0.011,0.009,0.012,0.003,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.009,0.003,2034
SS-6.0-29_CCOB_WILDGRASS_01_IMPACT_20200514_20200521,CCOB_WILDGRASS_01_IMPACT,2020-05-14,2020-05-21,none,NA,6.999,0.435,3.59,0.104,0.579,1.551,0.31,0.008,0.019,0.006,0.037,0.525,0.498,0.004,0.018,0.007,0.167,0.013,0.012,0.067,0.089,0.074,0.016,0.024,0.026,0.012,0.049,0.011,0.154,0.014,0.005,0.038,0.011,0.04,0.008,0.011,0.032,0.009,0.012,0.008,0.015,0.005,0.009,0.015,0.013,0.078,0.011,0.007,0.013,0.004,1977
SS-6.0-35_CCOB_WILDGRASS_01_IMPACT_20200521_20200528,CCOB_WILDGRASS_01_IMPACT,2020-05-21,2020-05-28,none,NA,4.145,0.371,1.965,0.081,0.279,0.767,0.24,0.008,0.02,0.006,0.023,0.284,0.248,0.004,0.018,0.007,0.096,0.021,0.012,0.041,0.064,0.019,0.016,0.016,0.009,0.042,0.021,0.011,0.148,0.014,0.005,0.034,0.016,0.053,0.008,0.011,0.031,0.009,0.012,0.007,0.015,0.005,0.009,0.013,0.013,0.078,0.011,0.007,0.008,0.003,1940
SS-6.0-39_CCOB_WILDGRASS_01_IMPACT_20200528_20200604,CCOB_WILDGRASS_01_IMPACT,2020-05-28,2020-06-04,none,NA,4.845,0.403,2.442,0.092,0.433,1.164,0.273,0.014,0.023,0.006,0.038,0.528,0.407,0.004,0.018,0.007,0.159,0.1,0.012,0.057,0.067,0.019,0.016,0.011,0.041,0.027,0.046,0.011,0.341,0.014,0.005,0.033,0.024,0.083,0.008,0.011,0.025,0.025,0.012,0.012,0.015,0.005,0.009,0.02,0.027,0.078,0.011,0.007,0.013,0.004,1939
SS-6.0-24_CCOB_WILDGRASS_01_IMPACT_20200604_20200611,CCOB_WILDGRASS_01_IMPACT,2020-06-04,2020-06-11,none,NA,4.631,0.69,1.519,0.08,0.267,0.752,0.232,0.011,0.017,0.006,0.019,0.366,0.26,0.004,0.018,0.007,0.105,0.13,0.012,0.078,0.086,0.019,0.047,0.028,0.066,0.012,0.021,0.011,1.729,0.014,0.005,0.021,0.038,0.156,0.016,0.03,0.023,0.009,0.012,0.009,0.015,0.005,0.009,0.014,0.013,0.078,0.011,0.007,0.008,0.008,1904
SS-6.0-02_CCOB_WILDGRASS_01_IMPACT_20200611_20200618,CCOB_WILDGRASS_01_IMPACT,2020-06-11,2020-06-18,none,NA,4.43,0.495,1.907,0.065,0.337,0.889,0.263,0.003,0.018,0.006,0.031,0.469,0.339,0.004,0.018,0.007,0.114,0.123,0.012,0.045,0.082,0.051,0.035,0.039,0.033,0.012,0.048,0.011,0.204,0.014,0.005,0.037,0.017,0.077,0.008,0.024,0.011,0.009,0.012,0.012,0.015,0.005,0.009,0.019,0.013,0.078,0.011,0.007,0.012,0.002,1911
SS-6.0-25_CCOB_WILDGRASS_01_IMPACT_20200618_20200625,CCOB_WILDGRASS_01_IMPACT,2020-06-18,2020-06-25,none,NA,4.606,0.407,2.147,0.1,0.369,0.937,0.251,0.008,0.016,0.006,0.03,0.424,0.347,0.004,0.018,0.007,0.125,0.076,0.012,0.034,0.107,0.019,0.016,0.018,0.024,0.027,0.021,0.011,0.154,0.014,0.005,0.021,0.021,0.061,0.008,0.023,0.011,0.009,0.012,0.011,0.015,0.005,0.009,0.016,0.013,0.078,0.011,0.007,0.013,0.003,1961
