Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-25_CCOB_INTERCHANGE_02_OG_20200514_20200521,CCOB_INTERCHANGE_02_OG,2020-05-14,2020-05-21,prod,NA,9.157,0.434,4.933,0.085,0.817,2.211,0.379,0.013,0.016,0.006,0.053,0.714,0.712,0.004,0.018,0.007,0.274,0.011,0.012,0.074,0.132,0.118,0.044,0.026,0.041,0.012,0.088,0.011,0.159,0.014,0.013,0.039,0.011,0.057,0.008,0.011,0.011,0.009,0.012,0.008,0.015,0.005,0.009,0.013,0.013,0.078,0.011,0.007,0.012,0.002,2019
SS-6.0-12_CCOB_INTERCHANGE_01_OG_20200514_20200521,CCOB_INTERCHANGE_01_OG,2020-05-14,2020-05-21,prod,NA,8.684,0.57,4.677,0.086,0.76,2.047,0.453,0.003,0.025,0.006,0.054,0.665,0.66,0.004,0.018,0.007,0.236,0.005,0.012,0.067,0.102,0.087,0.047,0.036,0.045,0.033,0.068,0.011,0.16,0.014,0.005,0.041,0.016,0.045,0.008,0.023,0.011,0.009,0.012,0.003,0.015,0.005,0.009,0.011,0.013,0.078,0.011,0.007,0.011,0.002,2013
SS-6.0-38_CCOB_INTERCHANGE_02_OG_20200521_20200528,CCOB_INTERCHANGE_02_OG,2020-05-21,2020-05-28,prod,NA,5.933,0.339,2.944,0.077,0.493,1.41,0.349,0.007,0.017,0.006,0.052,0.524,0.506,0.004,0.018,0.007,0.185,0.004,0.012,0.073,0.09,0.019,0.016,0.022,0.026,0.012,0.05,0.011,0.212,0.014,0.011,0.046,0.011,0.048,0.008,0.011,0.035,0.009,0.012,0.008,0.015,0.005,0.009,0.014,0.013,0.078,0.011,0.007,0.009,0.002,1960
SS-6.0-08_CCOB_INTERCHANGE_01_OG_20200521_20200528,CCOB_INTERCHANGE_01_OG,2020-05-21,2020-05-28,prod,NA,7.194,0.601,3.597,0.114,0.58,1.591,0.681,0.007,0.028,0.006,0.042,0.551,0.509,0.004,0.018,0.007,0.191,0.009,0.059,0.585,0.117,0.084,0.513,0.202,0.812,0.056,0.138,0.011,7.788,0.014,0.016,0.049,0.081,0.273,0.008,0.068,0.011,0.009,0.012,0.009,0.015,0.005,0.009,0.014,0.013,0.078,0.011,0.007,0.009,0.005,1960
SS-6.0-42_CCOB_INTERCHANGE_02_OG_20200528_20200604,CCOB_INTERCHANGE_02_OG,2020-05-28,2020-06-04,prod,NA,6.984,0.764,3.707,0.117,0.643,1.763,0.831,0.013,0.025,0.006,0.06,0.758,0.652,0.004,0.018,0.007,0.238,0.036,0.012,0.101,0.122,0.065,0.059,0.044,0.06,0.035,0.076,0.011,0.561,0.039,0.014,0.06,0.029,0.128,0.008,0.033,0.042,0.028,0.012,0.016,0.015,0.005,0.009,0.029,0.045,0.078,0.011,0.007,0.016,0.004,1968
SS-6.0-48_CCOB_INTERCHANGE_01_OG_20200528_20200604,CCOB_INTERCHANGE_01_OG,2020-05-28,2020-06-04,prod,NA,9.315,1.586,5.083,0.123,0.848,2.263,2.168,0.01,0.039,0.006,0.066,0.834,0.747,0.004,0.018,0.007,0.281,0.037,0.012,0.096,0.14,0.144,0.042,0.026,0.052,0.031,0.081,0.011,0.211,0.014,0.01,0.046,0.028,0.091,0.008,0.011,0.034,0.009,0.012,0.013,0.015,0.005,0.009,0.023,0.03,0.078,0.011,0.007,0.013,0.004,2045
SS-6.0-25_CCOB_INTERCHANGE_02_OG_20200604_20200611,CCOB_INTERCHANGE_02_OG,2020-06-04,2020-06-11,prod,NA,4.468,0.417,1.884,0.097,0.323,0.904,0.346,0.013,0.024,0.006,0.036,0.478,0.368,0.004,0.018,0.007,0.114,0.049,0.012,0.05,0.112,0.064,0.034,0.023,0.031,0.035,0.021,0.011,0.21,0.014,0.005,0.023,0.02,0.07,0.008,0.023,0.011,0.009,0.012,0.014,0.015,0.005,0.009,0.022,0.013,0.078,0.011,0.007,0.008,0.001,1892
SS-6.0-21_CCOB_INTERCHANGE_01_OG_20200604_20200611,CCOB_INTERCHANGE_01_OG,2020-06-04,2020-06-11,prod,NA,7.412,0.906,3.744,0.115,0.623,1.73,2.149,0.011,0.028,0.006,0.044,0.665,0.594,0.004,0.018,0.007,0.202,0.063,0.012,0.07,0.177,0.059,0.043,0.028,0.056,0.038,0.072,0.011,0.28,0.014,0.005,0.049,0.023,0.082,0.008,0.011,0.029,0.009,0.012,0.013,0.015,0.005,0.009,0.023,0.013,0.078,0.011,0.007,0.008,0.002,1884
SS-6.0-18_CCOB_INTERCHANGE_02_OG_20200611_20200618,CCOB_INTERCHANGE_02_OG,2020-06-11,2020-06-18,prod,NA,5.792,0.585,2.701,0.106,0.459,1.275,0.486,0.007,0.023,0.006,0.042,0.643,0.51,0.004,0.018,0.007,0.233,0.122,0.012,0.08,0.175,0.066,0.052,0.049,0.05,0.044,0.067,0.011,0.305,0.014,0.012,0.043,0.027,0.095,0.008,0.023,0.011,0.009,0.012,0.009,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.011,0.003,1944
SS-6.0-31_CCOB_INTERCHANGE_01_OG_20200611_20200618,CCOB_INTERCHANGE_01_OG,2020-06-11,2020-06-18,prod,NA,8.274,0.881,4.145,0.107,0.676,1.845,1.978,0.01,0.038,0.006,0.049,0.74,0.646,0.004,0.018,0.007,0.222,0.061,0.012,0.072,0.161,0.048,0.035,0.022,0.05,0.039,0.071,0.011,0.301,0.014,0.01,0.048,0.024,0.09,0.008,0.03,0.036,0.019,0.012,0.013,0.015,0.005,0.009,0.027,0.052,0.078,0.011,0.007,0.011,0.001,1941
SS-6.0-12_CCOB_INTERCHANGE_02_OG_20200618_20200625,CCOB_INTERCHANGE_02_OG,2020-06-18,2020-06-25,prod,NA,6.485,0.464,3.29,0.096,0.554,1.479,0.541,0.003,0.02,0.006,0.044,0.624,0.551,0.004,0.018,0.007,0.164,0.03,0.012,0.06,0.067,0.019,0.016,0.025,0.039,0.036,0.051,0.011,0.192,0.014,0.005,0.029,0.017,0.079,0.008,0.023,0.011,0.009,0.012,0.011,0.015,0.005,0.009,0.02,0.013,0.078,0.011,0.007,0.011,0.001,1946
SS-6.0-24_CCOB_INTERCHANGE_01_OG_20200618_20200625,CCOB_INTERCHANGE_01_OG,2020-06-18,2020-06-25,prod,NA,11.178,0.977,6.406,0.152,1.053,2.756,2.762,0.006,0.035,0.006,0.07,0.892,0.917,0.004,0.018,0.007,0.308,0.038,0.012,0.107,0.261,0.019,0.046,0.013,0.07,0.033,0.103,0.011,0.255,0.014,0.005,0.061,0.023,0.084,0.008,0.028,0.029,0.009,0.012,0.013,0.015,0.005,0.009,0.024,0.036,0.078,0.011,0.007,0.01,0.002,1886
SS_6.0_33_CCOB_INTERCHANGE_02_OG_20200625_20200702,CCOB_INTERCHANGE_02_OG,2020-06-25,2020-07-02,prod,NA,4.03,0.429,1.88,0.053,0.326,0.865,0.351,0.007,0.02,0.006,0.032,0.503,0.354,0.004,0.018,0.007,0.131,0.066,0.012,0.05,0.076,0.042,0.033,0.018,0.033,0.027,0.021,0.011,0.225,0.014,0.013,0.032,0.019,0.092,0.008,0.027,0.011,0.009,0.012,0.015,0.015,0.005,0.009,0.025,0.013,0.078,0.011,0.007,0.008,0.001,1974
SS_6.0_55_CCOB_INTERCHANGE_01_OG_20200625_20200702,CCOB_INTERCHANGE_01_OG,2020-06-25,2020-07-02,prod,NA,6.955,0.584,3.586,0.1,0.561,1.493,1.109,0.01,0.025,0.006,0.041,0.613,0.512,0.004,0.018,0.007,0.173,0.062,0.012,0.053,0.109,0.045,0.016,0.024,0.032,0.026,0.052,0.011,0.18,0.014,0.005,0.037,0.02,0.081,0.008,0.011,0.026,0.009,0.012,0.013,0.015,0.005,0.009,0.022,0.013,0.078,0.011,0.007,0.008,0.001,1886
SS_6.0_58_CCOB_INTERCHANGE_02_OG_20200702_20200709,CCOB_INTERCHANGE_02_OG,2020-07-02,2020-07-09,prod,NA,5.802,0.411,3.13,0.091,0.503,1.366,0.299,0.007,0.008,0.006,0.041,0.606,0.508,0.004,0.018,0.007,0.174,0.063,0.012,0.062,0.177,0.065,0.038,0.042,0.034,0.028,0.071,0.011,0.187,0.014,0.011,0.037,0.021,0.068,0.008,0.027,0.025,0.009,0.012,0.014,0.015,0.005,0.009,0.022,0.013,0.078,0.011,0.007,0.007,0.001,1933
SS_6.0_54_CCOB_INTERCHANGE_01_OG_20200702_20200709,CCOB_INTERCHANGE_01_OG,2020-07-02,2020-07-09,prod,NA,8.602,0.569,4.749,0.108,0.716,1.958,0.78,0.008,0.025,0.006,0.054,0.712,0.644,0.004,0.018,0.007,0.235,0.062,0.012,0.085,0.23,0.081,0.047,0.035,0.054,0.032,0.09,0.011,0.26,0.014,0.011,0.055,0.027,0.099,0.008,0.026,0.038,0.009,0.012,0.012,0.015,0.005,0.009,0.018,0.013,0.078,0.011,0.007,0.008,0.001,1904
SS_6.0_02_CCOB_INTERCHANGE_02_OG_20200709_20200716,CCOB_INTERCHANGE_02_OG,2020-07-09,2020-07-16,prod,NA,6.619,0.488,3.32,0.089,0.552,1.574,0.333,0.009,0.019,0.006,0.047,0.678,0.579,0.004,0.018,0.007,0.179,0.098,0.012,0.081,0.08,0.121,0.058,0.018,0.077,0.041,0.071,0.011,1.811,0.014,0.022,0.08,0.029,0.079,0.008,0.027,0.059,0.009,0.012,0.013,0.015,0.005,0.009,0.019,0.013,0.078,0.011,0.007,0.009,0.003,1911
SS_6.0_22_CCOB_INTERCHANGE_01_OG_20200709_20200716,CCOB_INTERCHANGE_01_OG,2020-07-09,2020-07-16,prod,NA,9.809,0.591,5.299,0.107,0.846,2.288,0.86,0.008,0.024,0.006,0.057,0.833,0.78,0.004,0.018,0.007,0.265,0.057,0.012,0.091,0.123,0.098,0.047,0.036,0.036,0.032,0.084,0.011,0.205,0.014,0.012,0.063,0.023,0.093,0.008,0.011,0.041,0.009,0.012,0.014,0.015,0.005,0.009,0.023,0.013,0.078,0.011,0.007,0.01,0.002,1948
SS_6.0_19_CCOB_INTERCHANGE_02_OG_20200716_20200723,CCOB_INTERCHANGE_02_OG,2020-07-16,2020-07-23,prod,NA,7.098,0.493,3.862,0.095,0.654,1.872,0.332,0.006,0.008,0.006,0.064,0.804,0.698,0.004,0.018,0.007,0.228,0.071,0.033,0.078,0.111,0.019,0.036,0.022,0.044,0.046,0.079,0.011,0.26,0.014,0.005,0.038,0.023,0.082,0.008,0.028,0.026,0.009,0.012,0.014,0.015,0.005,0.009,0.025,0.034,0.078,0.011,0.007,0.01,0.005,1940
SS_6.0_10_CCOB_INTERCHANGE_01_OG_20200716_20200723,CCOB_INTERCHANGE_01_OG,2020-07-16,2020-07-23,prod,NA,7.844,0.449,4.289,0.13,0.715,1.993,0.451,0.009,0.024,0.006,0.056,0.81,0.718,0.004,0.018,0.007,0.264,0.064,0.012,0.102,0.147,0.019,0.038,0.026,0.03,0.039,0.073,0.011,0.23,0.014,0.012,0.055,0.024,0.096,0.008,0.023,0.025,0.009,0.012,0.016,0.015,0.005,0.009,0.03,0.013,0.078,0.011,0.007,0.009,0.004,1921
SS_6.0_24_CCOB_INTERCHANGE_01_OG_20200723_20200730,CCOB_INTERCHANGE_01_OG,2020-07-23,2020-07-30,prod,NA,8.504,0.713,4.589,0.105,0.717,1.886,0.648,0.006,0.026,0.006,0.055,0.796,0.741,0.004,0.018,0.007,0.267,0.038,0.012,0.067,0.157,0.06,0.051,0.038,0.051,0.046,0.087,0.011,0.247,0.014,0.012,0.05,0.029,0.101,0.008,0.026,0.041,0.009,0.012,0.014,0.015,0.005,0.009,0.025,0.034,0.078,0.011,0.007,0.012,0.002,2067
SS_6.0_34_CCOB_INTERCHANGE_02_OG_20200723_20200730,CCOB_INTERCHANGE_02_OG,2020-07-23,2020-07-30,prod,NA,7.584,0.484,3.905,0.103,0.613,1.6,0.36,0.011,0.021,0.006,0.058,0.785,0.667,0.004,0.018,0.007,0.226,0.047,0.032,0.072,0.105,0.072,0.034,0.03,0.046,0.051,0.075,0.011,0.257,0.014,0.013,0.045,0.026,0.098,0.008,0.037,0.026,0.009,0.012,0.017,0.015,0.005,0.009,0.03,0.03,0.078,0.011,0.007,0.013,0.002,1942
SS_6.0_56_CCOB_INTERCHANGE_01_OG_20200730_20200806,CCOB_INTERCHANGE_01_OG,2020-07-30,2020-08-06,prod,NA,9.602,0.512,5.178,0.102,0.808,2.247,1.009,0.006,0.016,0.006,0.069,0.795,0.754,0.004,0.018,0.007,0.289,0.031,0.012,0.101,0.136,0.087,0.043,0.032,0.051,0.024,0.103,0.011,0.231,0.014,0.016,0.057,0.021,0.088,0.008,0.023,0.04,0.009,0.012,0.016,0.015,0.005,0.009,0.028,0.045,0.078,0.011,0.007,0.01,0.002,2017
SS_6.0_38_CCOB_INTERCHANGE_01_OG_20200806_20200813,CCOB_INTERCHANGE_01_OG,2020-08-06,2020-08-13,prod,NA,9.696,0.942,4.903,0.142,0.771,2.151,1.368,0.006,0.03,0.006,0.055,0.867,0.749,0.004,0.018,0.007,0.246,0.07,0.012,0.082,0.178,0.054,0.054,0.045,0.049,0.048,0.058,0.011,0.255,0.014,0.005,0.055,0.027,0.096,0.008,0.031,0.036,0.009,0.012,0.016,0.015,0.005,0.009,0.026,0.013,0.078,0.011,0.007,0.011,0.002,1953
SS_6.0_04_CCOB_INTERCHANGE_01_OG_20200813_20200820,CCOB_INTERCHANGE_01_OG,2020-08-13,2020-08-20,prod,NA,11.507,0.906,6.177,0.161,0.91,2.537,1.262,0.007,0.031,0.006,0.065,0.914,0.829,0.004,0.018,0.007,0.303,0.047,0.027,0.103,0.197,0.073,0.055,0.032,0.071,0.054,0.1,0.011,0.248,0.03,0.016,0.059,0.03,0.102,0.008,0.031,0.04,0.009,0.012,0.02,0.015,0.012,0.009,0.037,0.039,0.078,0.011,0.007,0.01,0.002,2010
SS_6.0_21_CCOB_INTERCHANGE_02_OG_20200820_20200827,CCOB_INTERCHANGE_02_OG,2020-08-20,2020-08-27,prod,NA,8.315,0.945,3.351,0.164,0.572,1.496,0.815,0.009,0.033,0.006,0.068,0.966,0.74,0.011,0.018,0.007,0.265,0.105,0.027,0.094,0.3,0.089,0.054,0.036,0.054,0.07,0.072,0.011,0.42,0.014,0.014,0.055,0.048,0.172,0.008,0.062,0.036,0.009,0.012,0.034,0.015,0.014,0.009,0.055,0.036,0.078,0.011,0.007,0.013,0.003,1991
SS_6.0_51_CCOB_INTERCHANGE_01_OG_20200820_20200827,CCOB_INTERCHANGE_01_OG,2020-08-20,2020-08-27,prod,NA,13.557,1.013,6.948,0.165,1.094,2.948,1.277,0.01,0.034,0.006,0.079,1.196,1.092,0.004,0.018,0.007,0.358,0.06,0.026,0.13,0.34,0.105,0.069,0.044,0.063,0.076,0.097,0.011,0.379,0.014,0.024,0.067,0.049,0.175,0.008,0.05,0.043,0.009,0.012,0.028,0.015,0.013,0.009,0.05,0.039,0.078,0.011,0.007,0.012,0.003,1992
SS_6.0_15_CCOB_INTERCHANGE_01_OG_20200827_20200903,CCOB_INTERCHANGE_01_OG,2020-08-27,2020-09-03,prod,NA,10.309,0.608,5.531,0.106,0.848,2.341,0.677,0.009,0.018,0.006,0.056,0.792,0.76,0.004,0.018,0.007,0.275,0.038,0.012,0.095,0.142,0.082,0.046,0.03,0.052,0.046,0.066,0.011,0.221,0.014,0.015,0.065,0.023,0.097,0.008,0.034,0.052,0.009,0.012,0.017,0.015,0.005,0.009,0.031,0.034,0.078,0.011,0.007,0.011,0.003,1982
SS_6.0_20_CCOB_INTERCHANGE_01_OG_20200903_20200910,CCOB_INTERCHANGE_01_OG,2020-09-03,2020-09-10,prod,NA,10.982,0.932,5.671,0.193,0.882,2.403,0.644,0.007,0.042,0.006,0.054,0.922,0.824,0.004,0.018,0.007,0.267,0.08,0.012,0.097,0.213,0.063,0.058,0.04,0.042,0.052,0.053,0.011,0.26,0.014,0.012,0.048,0.032,0.122,0.008,0.032,0.042,0.009,0.012,0.018,0.015,0.005,0.009,0.029,0.065,0.078,0.011,0.007,0.013,0.001,1925
SS_6.0_22_CCOB_INTERCHANGE_01_OG_20200910_20200917,CCOB_INTERCHANGE_01_OG,2020-09-10,2020-09-17,prod,NA,14.24,1.033,7.569,0.135,1.204,3.299,1.97,0.003,0.028,0.006,0.072,1.11,1.046,0.004,0.018,0.007,0.349,0.017,0.012,0.111,0.267,0.078,0.064,0.03,0.051,0.055,0.088,0.011,0.294,0.014,0.011,0.046,0.032,0.118,0.008,0.045,0.034,0.009,0.012,0.023,0.015,0.005,0.009,0.039,0.013,0.078,0.011,0.007,0.014,0.001,1996
SS_6.0_23_CCOB_INTERCHANGE_01_OG_20200917_20200924,CCOB_INTERCHANGE_01_OG,2020-09-17,2020-09-24,prod,NA,16.041,2.561,7.392,0.198,1.156,3.009,7.529,0.013,0.033,0.006,0.083,1.145,1.005,0.004,0.018,0.007,0.365,0.032,0.012,0.115,0.465,0.112,0.068,0.046,0.081,0.073,0.078,0.011,0.328,0.014,0.022,0.051,0.047,0.198,0.008,0.07,0.028,0.009,0.012,0.025,0.015,0.005,0.009,0.036,0.013,0.078,0.011,0.007,0.015,0.003,2062
SS_6.0_02_CCOB_INTERCHANGE_02_OG_20200924_20201001,CCOB_INTERCHANGE_02_OG,2020-09-24,2020-10-01,prod,NA,9.339,0.927,4.333,0.212,0.742,1.956,0.809,0.009,0.035,0.006,0.059,0.876,0.748,0.004,0.018,0.007,0.295,0.036,0.037,0.085,0.184,0.089,0.064,0.031,0.045,0.054,0.065,0.011,0.293,0.014,0.024,0.045,0.04,0.137,0.008,0.039,0.031,0.009,0.012,0.018,0.015,0.005,0.009,0.03,0.027,0.078,0.011,0.007,0.013,0.003,2002
SS_6.0_25_CCOB_INTERCHANGE_01_OG_20200924_20201001,CCOB_INTERCHANGE_01_OG,2020-09-24,2020-10-01,prod,NA,13.118,1.514,6.224,0.247,0.993,2.601,3.129,0.007,0.035,0.006,0.057,0.952,0.871,0.004,0.018,0.007,0.321,0.031,0.012,0.094,0.299,0.081,0.055,0.032,0.053,0.061,0.082,0.011,0.267,0.014,0.013,0.045,0.029,0.115,0.008,0.036,0.024,0.009,0.012,0.016,0.015,0.005,0.009,0.023,0.013,0.078,0.011,0.007,0.012,0.003,2022
SS_6.0_33_CCOB_INTERCHANGE_01_OG_20201001_20201008,CCOB_INTERCHANGE_01_OG,2020-10-01,2020-10-08,prod,NA,17.599,2.603,8.235,0.183,1.288,3.395,6.817,0.006,0.027,0.006,0.077,1.182,1.041,0.004,0.018,0.007,0.367,0.006,0.028,0.119,0.412,0.101,0.07,0.047,0.063,0.066,0.089,0.011,0.333,0.014,0.013,0.05,0.039,0.138,0.008,0.041,0.028,0.009,0.012,0.021,0.015,0.005,0.009,0.034,0.013,0.078,0.011,0.007,0.018,0.002,2065
SS_6.0_48_CCOB_INTERCHANGE_01_OG_20201008_20201015,CCOB_INTERCHANGE_01_OG,2020-10-08,2020-10-15,prod,NA,10.5,1.183,5.136,0.118,0.813,2.185,2.982,0.003,0.017,0.006,0.05,0.717,0.66,0.004,0.018,0.007,0.225,0.008,0.012,0.062,0.189,0.058,0.033,0.024,0.025,0.028,0.057,0.011,0.176,0.014,0.005,0.03,0.017,0.069,0.008,0.011,0.011,0.009,0.012,0.01,0.015,0.005,0.009,0.016,0.013,0.078,0.011,0.007,0.01,0.001,1978
SS_6.0_04_CCOB_INTERCHANGE_02_OG_20201015_20201022,CCOB_INTERCHANGE_02_OG,2020-10-15,2020-10-22,prod,NA,16.963,1.416,9.265,0.286,1.569,4.227,1.136,0.014,0.042,0.006,0.099,1.319,1.305,0.004,0.018,0.007,0.438,0.005,0.032,0.124,0.22,0.124,0.07,0.03,0.067,0.058,0.104,0.011,0.356,0.029,0.032,0.067,0.052,0.14,0.008,0.05,0.039,0.009,0.012,0.021,0.015,0.005,0.009,0.035,0.028,0.078,0.011,0.007,0.016,0.006,2120
SS_6.0_38_CCOB_INTERCHANGE_01_OG_20201015_20201022,CCOB_INTERCHANGE_01_OG,2020-10-15,2020-10-22,prod,NA,21.099,1.618,11.535,0.269,1.889,5.087,2.033,0.012,0.031,0.013,0.109,1.476,1.481,0.004,0.018,0.007,0.505,0.005,0.012,0.147,0.27,0.123,0.076,0.05,0.082,0.053,0.107,0.011,0.303,0.014,0.017,0.057,0.029,0.109,0.008,0.037,0.034,0.009,0.012,0.019,0.015,0.005,0.009,0.03,0.027,0.078,0.011,0.007,0.015,0.005,2179
SS_6.0_15_CCOB_INTERCHANGE_01_OG_20201022_20201029,CCOB_INTERCHANGE_01_OG,2020-10-22,2020-10-29,prod,NA,20.189,1.346,10.487,0.201,1.749,4.756,0.908,0.015,0.025,0.006,0.109,1.368,1.4,0.004,0.018,0.007,0.467,0.002,0.028,0.132,0.221,0.131,0.076,0.032,0.063,0.06,0.1,0.011,0.259,0.014,0.013,0.055,0.029,0.129,0.008,0.041,0.025,0.009,0.012,0.018,0.015,0.005,0.009,0.028,0.013,0.078,0.011,0.007,0.013,0.004,2227
SS_6.0_25_CCOB_INTERCHANGE_01_OG_20201029_20201106,CCOB_INTERCHANGE_01_OG,2020-10-29,2020-11-05,prod,NA,19.085,1.125,9.445,0.181,1.566,4.206,0.779,0.012,0.026,0.014,0.1,1.449,1.305,0.004,0.018,0.007,0.533,0.024,0.038,0.176,0.239,0.152,0.118,0.076,0.075,0.099,0.149,0.011,0.389,0.045,0.032,0.067,0.031,0.197,0.008,0.043,0.03,0.009,0.012,0.029,0.015,0.011,0.009,0.045,0.013,0.078,0.011,0.007,0.018,0.003,2051
SS_6.0_39_CCOB_INTERCHANGE_01_OG_20201105_20201112,CCOB_INTERCHANGE_01_OG,2020-11-05,2020-11-12,prod,NA,13.651,0.834,6.695,0.129,1.174,3.174,0.559,0.012,0.019,0.006,0.074,1.009,0.952,0.004,0.018,0.007,0.332,0.002,0.012,0.12,0.147,0.112,0.061,0.038,0.048,0.07,0.085,0.011,0.236,0.014,0.018,0.05,0.033,0.116,0.008,0.038,0.026,0.009,0.012,0.015,0.015,0.005,0.009,0.024,0.013,0.078,0.011,0.007,0.014,0.005,2130
SS_6.0_43_CCOB_INTERCHANGE_02_OG_20201112_20201119,CCOB_INTERCHANGE_02_OG,2020-11-12,2020-11-19,prod,NA,8.715,0.968,3.674,0.159,0.743,2.053,0.633,0.012,0.023,0.006,0.055,0.783,0.644,0.004,0.018,0.007,0.289,0.004,0.012,0.094,0.161,0.061,0.058,0.038,0.058,0.044,0.066,0.011,0.269,0.014,0.013,0.042,0.059,0.192,0.008,0.047,0.033,0.009,0.012,0.02,0.015,0.005,0.009,0.035,0.028,0.078,0.011,0.007,0.003,0.014,1999
SS_6.0_46_CCOB_INTERCHANGE_01_OG_20201112_20201119,CCOB_INTERCHANGE_01_OG,2020-11-12,2020-11-19,prod,NA,12.659,0.94,6.003,0.155,1.059,2.876,0.627,0.01,0.019,0.006,0.07,0.927,0.853,0.004,0.018,0.007,0.314,0.005,0.012,0.1,0.136,0.074,0.058,0.027,0.05,0.033,0.078,0.011,0.259,0.014,0.011,0.045,0.036,0.131,0.008,0.035,0.024,0.009,0.012,0.018,0.015,0.005,0.009,0.027,0.013,0.078,0.011,0.007,0.003,0.014,2020
SS_6.0_28_CCOB_INTERCHANGE_01_OG_20201119_20201126,CCOB_INTERCHANGE_01_OG,2020-11-19,2020-11-26,prod,NA,16.778,1.45,7.859,0.216,1.474,4.02,0.892,0.012,0.027,0.012,0.091,1.344,1.207,0.009,0.018,0.007,0.48,0.003,0.03,0.153,0.204,0.162,0.108,0.068,0.091,0.078,0.134,0.011,0.371,0.041,0.023,0.077,0.038,0.155,0.008,0.05,0.038,0.009,0.012,0.022,0.015,0.005,0.009,0.036,0.013,0.078,0.011,0.007,0.004,0.019,2186
SS_6.0_16_CCOB_INTERCHANGE_01_OG_20201126_20201203,CCOB_INTERCHANGE_01_OG,2020-11-26,2020-12-03,prod,NA,12.376,1.307,5.261,0.214,0.955,2.521,0.85,0.008,0.03,0.006,0.058,0.831,0.712,0.004,0.018,0.007,0.277,0.002,0.012,0.107,0.19,0.095,0.057,0.041,0.057,0.055,0.076,0.011,0.266,0.014,0.014,0.062,0.03,0.144,0.008,0.036,0.045,0.009,0.012,0.021,0.015,0.005,0.009,0.037,0.013,0.078,0.011,0.007,0.003,0.014,2044
SS_6.0_12_CCOB_INTERCHANGE_01_OG_20201203_20201210,CCOB_INTERCHANGE_01_OG,2020-12-03,2020-12-10,prod,NA,12.061,1.534,4.348,0.234,0.926,2.593,0.945,0.017,0.035,0.006,0.059,0.961,0.685,0.011,0.018,0.007,0.307,0.008,0.036,0.138,0.186,0.1,0.092,0.054,0.083,0.095,0.072,0.011,0.428,0.043,0.025,0.061,0.059,0.213,0.008,0.066,0.039,0.009,0.012,0.029,0.015,0.011,0.009,0.048,0.013,0.078,0.011,0.007,0.004,0.023,2019
SS_6.0_41_CCOB_INTERCHANGE_02_OG_20201210_20201217,CCOB_INTERCHANGE_02_OG,2020-12-10,2020-12-17,prod,NA,19.991,1.41,11.401,0.197,1.937,5.173,0.91,0.011,0.023,0.006,0.116,1.529,1.519,0.004,0.018,0.007,0.505,0.008,0.026,0.137,0.199,0.156,0.093,0.046,0.08,0.068,0.126,0.011,0.299,0.041,0.017,0.068,0.036,0.117,0.008,0.033,0.047,0.009,0.012,0.015,0.015,0.005,0.009,0.026,0.013,0.078,0.011,0.007,0.004,0.016,2129
SS_6.0_33_CCOB_INTERCHANGE_01_OG_20201210_20201217,CCOB_INTERCHANGE_01_OG,2020-12-10,2020-12-17,prod,NA,21.846,1.343,11.778,0.197,1.983,5.307,0.859,0.012,0.024,0.006,0.11,1.518,1.555,0.004,0.018,0.007,0.536,0.003,0.031,0.15,0.18,0.15,0.081,0.034,0.068,0.092,0.136,0.011,0.3,0.031,0.021,0.07,0.037,0.136,0.008,0.039,0.042,0.009,0.012,0.016,0.015,0.005,0.009,0.027,0.013,0.078,0.011,0.007,0.004,0.014,2135
SS_6.0_01_CCOB_INTERCHANGE_01_OG_20201217_20201224,CCOB_INTERCHANGE_01_OG,2020-12-17,2020-12-24,prod,NA,18.085,1.165,10.421,0.181,2.055,5.761,0.827,0.015,0.02,0.006,0.123,1.634,1.768,0.004,0.018,0.007,0.661,0.002,0.031,0.156,0.204,0.178,0.103,0.059,0.092,0.055,0.144,0.011,0.321,0.031,0.022,0.071,0.035,0.137,0.008,0.055,0.048,0.009,0.012,0.017,0.015,0.005,0.009,0.029,0.052,0.078,0.011,0.007,0.007,0.017,2050
